id,name,detail
npc,娜尔梅亚,3040063000
special,蝴蝶刃·源氏舞,暗属性伤害(特大)/自身获得攻击力UP(累积)
special-胡蝶刃・神楽舞,蝴蝶刃·神乐舞,暗属性伤害(特大)/自身移除由「胡蝶刃」获得的防御力DOWN
special-Freeflutter Dance,蝴蝶刃·神乐舞,暗属性伤害(特大)/自身移除由「胡蝶刃」获得的防御力DOWN
special-胡蝶刃改・源氏舞,蝴蝶刃改·源氏舞,暗属性伤害(特大)/自身获得攻击力UP(累积)/暗属性攻击力UP
special-Dawnfly Dance II,蝴蝶刃改·源氏舞,暗属性伤害(特大)/自身获得攻击力UP(累积)/暗属性攻击力UP
special-胡蝶刃改・神楽舞,蝴蝶刃改·神乐舞,暗属性伤害(特大)/自身移除由「胡蝶刃」获得的防御力DOWN/获得幻影效果(2次)
special-Freeflutter Dance II,蝴蝶刃改·神乐舞,暗属性伤害(特大)/自身移除由「胡蝶刃」获得的防御力DOWN/获得幻影效果(2次)
skill-1,蝴蝶刃,<div class=prt-text-small>自身切换架势/获得攻击力UP(累积)/防御力DOWN/弱点属性追击效果</div>
skill-2,泡沫梦幻,<div class=prt-text-small>对敌方单体造成暗属性伤害/「蝴蝶相剋」<br>◆源氏架势:自身获得连续攻击率UP<br><span class=text-blue>◆神乐架势:敌方单体根据CT数量获得防御力DOWN</span></div>
skill-2++,泡沫梦幻,<div class=prt-text-small>对敌方单体造成暗属性伤害/「蝴蝶相剋」<br>◆源氏架势:自身获得必定三连击<br><span class=text-blue>◆神乐架势:敌方单体获得防御力DOWN</span></div>
skill-3,镜花水月,<div class=prt-text-small>◆源氏架势:驱散敌方单体1个强化效果/减速效果<br><span class=text-blue>◆神乐架势:自身获得标记追讨「蝴蝶相剋」/攻击力UP/暴击率UP</span></div>
skill-4,蝴蝶双舞,<div class=prt-text-small>自身获得「蝴蝶双舞」/高扬效果/奥义性能UP(1次)<span class=text-blue>◆自身处于「蝴蝶双舞」下一次使用「泡沫梦幻」或「镜花水月」时触发两个架势效果</span></div>
support-1,质实刚健,自身获得驱散免疫/不死身效果(1次)
support-2,锷迫合,回合开始时自身概率在本回合获得反射效果
support-2+,锷迫合,<div class=prt-text-small>回合开始时自身概率在本回合获得反射效果/使用「镜花水月」时必定获得反射效果</div>
skill-lb,LB技能,自身对处于「蝴蝶相剋」的目标获得暴击率UP
intro,摇曳的斩姬,她笔直前进，可以说已经一心一意到有点疯狂。泰然自若积攒着异常锻炼的剑豪，在通往最强的阶梯上不断攀登。然而，走在遥远前方统治着天空的强者仍未回头。
