id,name,detail
npc,卡里奥斯特罗,3040009000
special,大炼金术,伤害(特大)（4.5倍）
special+,大炼金术,伤害(特大)（5倍）/（终突后）回复量上升50%，回复性能上升50%
skill-1,瓦解,对敌方全体造成土属性伤害/防御DOWN（10%）
skill-1+,瓦解,对敌方全体造成土属性伤害/防御DOWN（10%）
skill-1++,瓦解,对敌方全体造成土属性伤害（2.5-3倍）/防御DOWN（15%，片面类）
skill-2,幻灯,<div class=prt-text-small>去除自身1个负面效果/暴击率UP/特殊強化(连击率UP/攻防UP)</div>
skill-2+,幻灯,<div class=prt-text-small>去除自身1个负面效果/暴击率UP（30%，1.3倍）/特殊強化(连击率UP/攻防UP)（DA35%，TA15%，攻击30%，防御30%）</div>
skill-2++,幻灯,<div class=prt-text-small>去除我方全体1个负面效果/暴击率UP（30%，1.3倍）/特殊強化(连击率UP/攻防UP)（DA35%，TA15%，攻击30%，防御30%）</div>
skill-3,强化,回复我方全体HP（25%MHP，上限2000）/获得再生效果（5%，上限200）
support-1,世界第一可爱☆,负面效果抗性UP（10%）
support-2,备用的躯体,战斗开始时，获得自动复活效果
skill-lb,LB技能,受伤时有极小概率回复全部HP（3%）
active,1,
,,
