id,name,detail
npc,赫尔艾斯,3040060000
special,霍斯之战,火属性伤害(特大)/下一次使用「秋意萧条」时，技能发动2次
special-トガルキャンロディ,高贵领引,火属性伤害(特大)/下一次使用「秋意萧条」时，技能发动2次/赋予自己魔枪效果
skill-1,速攻,自己的攻击力大幅UP(仅敌人OD时/1次)
skill-2,秋意萧条,对敌方单体造成3.5～4.5倍火属性伤害/我方全体奥义值UP (10%)
skill-2+,秋意萧条,对敌方单体造成4～5倍火属性伤害/我方全体奥义值UP (10%)
skill-2++,秋意萧条,<div class=prt-text-small>对敌方单体造成7倍火属性伤害/攻防DOWN（累积）/对峙效果/我方全体奥义值UP (10%)</div>
skill-3,决战之夜,效果中必定三连击
skill-4,褪入灰暗,增加敌方全体最大CT/赋予敌人连续攻击率DOWN
support-1,赤炎舞枪,对OD状态的敌人攻击UP/火属性追击效果
support-2,快速袭击,每3回合对敌人造成火属性伤害/自己的奥义伤害UP(累积)
support-2+,快速袭击,每3回合对敌人造成火属性伤害/自己的奥义性能UP（累积）/伤害上限UP(累积)
skill-lb,LB技能,减轻OD状态的敌人所造成的伤害
intro,亡国的希望,在得知导致祖国灭亡的是父王的愚蠢策略这个事情后，王女开始对王座的存在抱有疑问。考虑到残留下来的民众的未来，废弃王座的她因此离开了人民。展现在不再是王女的她的面前的，是自由到可怕的世界。
