id,en,jp,trans
0-chapter_name,,第2話 合金工房へようこそ！,第2话 欢迎来到合金工坊！
0-synopsis,,飲み屋でダン伯父さんを見つけたシルヴァは、ダン伯父さんに酒の飲み比べで勝負を挑む。自分が勝ったら合金工房の責任者として真面目に職務を全うしてほしい、と言い、無理に酒を飲んでいくシルヴァ。シルヴァのダン伯父さんを含めた銃工房一家への想いを聞き、ダン伯父さんは負けを認めて合金工房の責任者として力を尽くすことを約束するのだった。,席尔瓦在酒馆找到了丹舅，提出与丹舅比赛喝酒，如果她获胜，丹舅就要作为合金工坊的负责人认真的处理事务。席尔瓦为此不停向自己灌酒。听了席尔瓦对火枪工坊全家的心意，丹舅表示认输，与席尔瓦约定他作为合金工坊的负责人会尽职尽责。
2,,<span class='scene-font-katari'>姬塔達が</span><br><span class='scene-font-katari'>ホットサンドに舌鼓を打っている頃。</span>,<span class='scene-font-katari'>在姬塔等人享用三明治时。</span>
8,,<span class='scene-font-katari'>ダン伯父さんは飲み屋に入り、</span><br><span class='scene-font-katari'>お酒とつまみを頼んでいた。</span>,<span class='scene-font-katari'>丹舅已经来到酒馆点了杯酒。</span>
9,,さぁて、<span class='scene-font-place'>バルツ</span>の酒ってのは<br>どんなもんかね？,让我尝尝<span class='scene-font-place'>瓦尔兹</span>的酒味道如何？
11,,<span class='scene-font-katari'>盃を手に取ったダン伯父さんは、</span><br><span class='scene-font-katari'>口をつける直前に</span><br><span class='scene-font-katari'>後ろから声を掛けられた。</span>,<span class='scene-font-katari'>丹舅拿起酒杯，但酒还未入口，他就听见有人在后面叫他。</span>
12,,ん？　おお、シルヴァじゃねぇか。<br>どうした？,嗯？　哦，这不是席尔瓦吗？<br>怎么了？
13,,俺ぁ一杯引っかけようと思うんだがよ、<br>お前さんも一緒に呑むかい？,我打算在这儿喝一杯，你也一起吗？
14,,…………,…………
15,,わかりました、ご一緒します。<br>……ただ、条件があります。,我明白了，我陪你喝酒吧。……不过，我有个条件。
16,,条件？<br>なんでぇ、酒呑むのに<br>難しいこと言うなよぉ。,条件？<br>怎么了，别把喝酒搞得那么复杂嘛。
17,,……私と、飲み比べで<br>勝負してください。,……来和我比比酒量吧。
18,,飲み比べ？<br>へぇ～、真面目なシルヴァが<br>そんなこと提案するたぁなぁ。,比酒量？<br>嘿～，没想到一本正经的席尔瓦会提出和我比酒量啊。
19,,……私が勝ったら、<br>合金工房の責任者として伯父さんこそ<br>真面目に職務を全うしてください。,……如果我赢了，<br>希望丹舅从今以后作为合金工坊的负责人认真对待一切事务。
20,,へっ？<br>な、なんだいそりゃ……,咦？<br>这、这是什么意思……
22,,もし私が負けたら、<br>ダン伯父さんの言う通りにすると<br>約束しますから。,如果我输了，那么我也听丹舅一个要求。
23,,……いいですね？,……这样可以吧？
24,,<span class='scene-font-katari'>シルヴァはダン伯父さんが</span><br><span class='scene-font-katari'>呆気に取られているうちに、</span><br><span class='scene-font-katari'>店員に酒瓶と盃を運ばせた。</span>,<span class='scene-font-katari'>还没等丹舅反应过来，席尔瓦已经叫店员拿来了酒和酒杯。</span>
26,,んっ……,唔……
28,,……ぷはっ！？<br>お、おいこの酒結構キくぞ……！？<br>シルヴァ、お前さん酒強かったか！？,……哈！？<br>喂、这酒可劲了……！？<br>席尔瓦，原来你酒量不错吗！？
29,,……ダン伯父さん、私は……,……丹舅，我……
31,,<span class='scene-font-katari'>勢いよく酒を喉に流し込んだ</span><br><span class='scene-font-katari'>シルヴァは、</span><br><span class='scene-font-katari'>盃をテーブルに置く。</span>,<span class='scene-font-katari'>席尔瓦猛地干了杯中的酒，把空杯放在了桌上。</span>
32,,ククルとクムユのことを、<br>本当の妹のように<br>愛おしく思っているし……,我一直，把库库鲁和库姆优当做真正的妹妹来疼爱……
35,,銃工房の親方さんとおかみさんを、<br>両親と同じように<br>尊敬しているんです。,把火枪工坊的老板老板娘当做自己的双亲一般爱戴。
38,,お、おう、そりゃ知ってるよ……<br>知ってるけどよぅ……,哦，这个我知道啊……<br>我知道的……
40,,<span class='scene-font-katari'>うろたえつつもダン伯父さんも</span><br><span class='scene-font-katari'>盃を傾けるのを見て、</span><br><span class='scene-font-katari'>シルヴァは煽る速度を上げる。</span>,<span class='scene-font-katari'>见丹舅在犹豫之后还是举杯，席尔瓦开始进一步劝说。</span>
42,,それだけじゃない。<br>ダン伯父さんにだって、<br>とてもお世話になりました。,不仅仅是这样。丹舅，你也很照顾我。
43,,狙撃銃以外の銃の、<br>解体と組み立てを<br>教えて貰ったり……,你还教会我狙击枪以外的枪种如何拆解组装……
45,,不注意で狙撃鏡を割ってしまって<br>帰るに帰れない私に、<br>大丈夫だと言って貰ったこともある。,有一次，我不小心把狙击镜摔碎了，不敢回去。是你安慰我说没有关系。
47,,そんなことあったっけか……<br>あぁ、いや、あったな……,有这么回事吗……<br>啊、好像是有吧……
49,,でもよぉ、ありゃ、お前さんが<br>申し訳なくて工房に戻れねぇで<br>いたもんだから──,不过，那是因为你自己太愧疚不敢回去——
50,,あいつらならそれっくらいで、<br>怒りゃしねぇって<br>教えただけのことだろ。,我只是来告诉你，他俩不会因为这种事生气而已。
53,,……ダン伯父さんが思うより、<br>ずっとダン伯父さんは親切な人です。,……丹舅，你比你想象中的自己要好的多。
55,,買いかぶりだぜそりゃ……<br>……。,那你也太抬举我了……<br>……呼。
56,,私、は……,我、……
59,,銃工房の、皆さんには……<br>……幸せで、いてほしい……,我希望火枪工坊一家……<br>……都能幸福……
60,,……だから……,……所以……
63,,今回は、逃げずに……<br>……むきあって、ください……,这一次，请你不要逃避……<br>……请你去面对……
66,,…………,…………
67,,どうか……,拜托了……
70,,…………,…………
72,,……ぷはぁ……,……哈……
73,,……ダメだぁ、<br>流石にもう呑めねぇ……,……不行了、<br>我不能再喝了……
74,,それ、じゃあ……,那、那么……
75,,俺の負けだよ、負け。,是我输了。输了啊。
76,,……まあ一応、<br>やれるだけやってみらぁ。,……那我就先尽力吧。
77,,勝負、しちまったもんなぁ……,毕竟都输给你了……
78,,…………,…………
80,,お、おい、シルヴァ？<br>お～い……寝るなよぉ、<br>伯父さん困るよ……,喂、席尔瓦？<br>喂~……你别睡啊，<br>你睡了丹舅怎么办……
81,,<span class='scene-font-katari'>テーブルに突っ伏してしまった</span><br><span class='scene-font-katari'>シルヴァを前に、</span><br><span class='scene-font-katari'>ダン伯父さんはうろたえる。</span>,<span class='scene-font-katari'>看着伏在桌上入睡的席尔瓦，丹舅一时间不知如何是好。</span>
82,,<span class='scene-font-katari'>その姿は頼りないものだったが、</span><br><span class='scene-font-katari'>彼は確かに負けを認め</span><br><span class='scene-font-katari'>シルヴァと約束をしたのだった。</span>,<span class='scene-font-katari'>那样子看起来实在不太可靠，但他的确向席尔瓦做出了承诺。</span>
83,,<span class='scene-font-katari'>合金工房の責任者として</span><br><span class='scene-font-katari'>力を尽くす、と……</span>,<span class='scene-font-katari'>保证作为合金工坊的负责人尽力而为……</span>
info,,1,scene_evt180930_cp2_q4_s10
