id,en,jp,trans
0-chapter_name,,光をもたらす者,带来光明者
0-synopsis,,空の底に広がると噂の『赤き地平』の芝居を観に、劇場を訪れた姬塔達。怪談仕立ての内容におびえるルリアやイオを笑い飛ばすラカムだったが、そこに謎の美青年が現れる。青年はこの物語は真実に迫っていると語り「世界の真実を教えよう」と姬塔に手を差し伸べてくる。青年はルシオと名乗り、正体を隠したまま騎空団に加わるのだった。,姬塔等人正在剧场观看以天底深渊与传说中的『赤色地平』为题材的剧目。露莉亚和伊欧因剧中怪谈的内容感到害怕，而拉卡姆正在嘲笑她们的胆小。这时，一名神秘的美青年出现在众人眼前。青年称这出剧非常接近事实，而他可以告诉姬塔这个世界的真相。青年自称名叫路西欧，隐瞒了自己真正的身份加入骑空团。
5,,<span class='scene-font-4'>――紳士淑女の皆様！</span><br><span class='scene-font-4'>ご静粛に！</span>,<span class='scene-font-4'>——女士们，先生们！请保持安静！</span>
6,,今宵、お集まりいただいた皆様に<br>ご覧に入れますのは、<br>かの、おぞましき伝承――,今夜，我们将为在座的各位带来那可怖的传说——
7,,この空の底――『赤き地平』の<br>真実の物語に、ございます……！,在这天底的深渊——『赤色地平』所发生的，真实的故事……！
10,,お覚悟は宜しいですかな？<br>では、どうぞ、最後まで<br>その目をふさぐことのなきよう……！,各位做好准备了吗？那么，请大家欣赏到最后……！
17,,<span class='scene-font-katari'>ある劇場の興行が評判を呼んでいる</span><br><span class='scene-font-katari'>と聞き、観劇に訪れた</span><br><span class='scene-font-katari'>姬塔達。</span>,<span class='scene-font-katari'>姬塔一行听说这个剧院非常有名，便前来观剧。</span>
18,,<span class='scene-font-katari'>それは『空の底』にまつわる言い伝えを</span><br><span class='scene-font-katari'>題材にした、恐ろしいものであった……</span>,<span class='scene-font-katari'>他们观看的是，以『天底的深渊』为题材的恐怖剧。</span>
19,,はわわわわわ……！<br>すすすすごかったですねねねね……！,啊啊啊啊……！感感感感觉好厉害呢呢呢……！
20,,ふ、ふん！<br>あんなの子供だましじゃない！<br>ぜ、全然、怖くなんか……！,哼！这种东西不就是骗小孩子的嘛！我、我才、才不怕呢……！
21,,うぇえ……気持ちワリィ……！<br>２人とも、いいかげん<br>オイラを放してくれよぉお……,呃……头好晕……！你们两个，差不多把咱放下吧……
22,,おーおー、すっかりビビっちまって。<br>お子様には、ちと刺激が強すぎた<br>みてぇだな？,哟哟，你们怎么怕成这样。看来这出剧对你们小孩子来说有些太刺激了？
23,,空から落っこちた先の下の世界にゃ<br>この世のもんじゃねぇバケモンが<br>うようよ歩いてる！　……なんてな。,天空底下的世界啊，到处都是异世界的怪物！……嗨，唬人呐。
24,,ありえねぇだろ、実際。,实际上怎么可能啊。
25,,ど、どうして、そう言い切れるのよ？<br>だって、空の底からは、誰も生きて<br>戻ってきた人はいないって……！,你、你怎么知道的？不是说、没有去过天底深渊还活着回来的人吗……！
26,,誰も生きて戻らなかったってんなら<br>なんで、この下の世界が<br>バケモンの巣窟だってわかんだよ？ <br>,既然没有人活着回来，那怎么知道下面的世界就是怪物的巢穴啊？
27,,……あっ！？,……啊！？
28,,しかもぉ？　そのバケモンたちは、<br>どーゆーわけか、この空の世界のことを<br>よーく知ってて？,而且啊？ 那些怪物也不知道怎么的，就对我们的天空世界了如指掌呢！
29,,悪い人間どもをたぶらかして、<br>この世界を手に入れようとしてると<br>きたもんだぜ。,还企图利用那些邪恶的人类来占领这个世界。
30,,ま、こんなのは<br>ガキのための寝物語みてぇな<br>もんだろ。,反正这东西就是哄小孩睡觉的睡前故事吧。
31,,ほれほれ、悪いことすっと<br>バケモンが来るぞ～！<br>……ってな！,你看，如果做坏事的话有会有怪物来把你吃掉哦~！……就是这样呗！
32,,うぅ～っ……！<br>,唔唔~……！
33,,――それが<br>そうとも言い切れないのですよ。,——这，也不能如此妄下定论。
34,,へ……？,嗯……？
36,,古より受け継がれし伝承は、<br>必ず、真実を含むもの……,从古流传至今的传说，多多少少包含着真实……
37,,もっとも未来を見通す力を持つのは<br>人のうち、ごく限られた者に<br>すぎません。,毕竟，能够预见未来的人少之又少。
38,,そして、僅かに断片を知りえたとしても<br>人の一生では、その全容に迫ることなど<br>とてもできはしない……,况且，就算得知了零碎的真相，人在短暂的一生中，又何以窥视真相的全貌……
39,,そのはずでした。これまでは……,本应该是这样。过去也的确如此……
40,,<span class='scene-font-katari'>劇場の暗闇から現れた青年は、</span><br><span class='scene-font-katari'>ゆっくりと、姬塔に</span><br><span class='scene-font-katari'>歩み寄った。</span>,<span class='scene-font-katari'>一名青年从剧场的暗处向姬塔一行走来。</span>
43,,かつて、これほど核心に迫った物語が<br>作られたためしはない……,过去，从没有过如此接近真相核心的故事……
44,,この世界が生まれて、それだけの時が<br>流れたということでしょう。,这也说明，自创世以来已经过了如此漫长的时光吧。
45,,<span class='scene-font-katari'>憂いを帯びた顔で、青年は</span><br><span class='scene-font-katari'>姬塔に手を差し伸べる――</span>,<span class='scene-font-katari'>略带忧郁的青年向姬塔伸出手说道——</span>
46,,この世界に、危機が迫っている……,这个世界，正面临着危机……
47,,君が望むなら、<br>私は、世界の真実を教えよう……<br>姬塔。,如果你愿意的话，我就把世界的真相告诉你吧……姬塔。
48,,…………,
49,,…………,
50,,<span class='scene-font-katari'>人であふれるロビーに、静寂が落ちた。</span>,<span class='scene-font-katari'>人山人海的剧场大厅骤然安静。</span>
51,,あー……<br>見事なもんだな！<br>兄ちゃん、ここの役者か？,啊……演得真不错啊！小哥，你是这里的演员吗？
52,,ほんと！　まだお芝居が<br>続いてるのかと思っちゃった！,是啊！就像演出还在继续一样！
53,,芝居……？　いえ、私は……,演出……？不，我……
