id,en,jp,trans
0-chapter_name,,ソーンの故郷で,重归故里
0-synopsis,,村に到着した姬塔一行は、狩りから逃げ帰ってきた狩人達の話を聞き、ソーンの幼馴染が山に取り残されていることを知る。ソーンと一行は山へ急ぎ、魔物に囲まれる幼馴染の姿を発見する。,到达村子里的姬塔一行，从打猎逃回来的猎人们口中得知，索恩的青梅竹马在逃跑的过程中掉队了。索恩和大家马上向山进发，在山中发现了被魔物包围的青梅竹马。
0,,<span class='scene-font-katari'>ソーンの生まれた村に到着した一行。</span><br><span class='scene-font-katari'>あたりが静かすぎる事に不安を</span><br><span class='scene-font-katari'>覚えながら、ソーンの生家に向かった。</span>,<span class='scene-font-katari'>一行人到达了索恩出生的村子。</span><br><span class='scene-font-katari'>村子内一片寂静着实令人不安，</span><br><span class='scene-font-katari'>大家顾不得那么多，便冲向索恩的家。</span>
1,,お祖母ちゃん、いる？,奶奶，你在吗？
2,,おや……あんた帰ったのかい。<br>あらあら……また綺麗になって……<br>後ろにいる子達はお友達かい？,哦呀……你回来了啊。<br>啊啦啊啦……又变得这么漂亮了……<br>身后的孩子们是你的朋友吗？
3,,うん。<br>ゆっくり紹介したい所なんだけど……<br>ねえ、村で何があったの？,嗯。我想慢慢介绍，但是现在好像<br>不是干这些的时候……<br>呐，村子里发生了什么吗？
4,,ああ……最近、魔物が増えてねえ……,是啊……最近，魔物越来越多了……
5,,みんな頑張って退治しようと<br>しているんだけど……<br>狩人はほとんど怪我で倒れてねえ……,大家虽然一直都努力得去消灭来着<br>但猎人们大部分都因伤倒下了……
6,,嘘……<br>だって皆、この辺の魔物なんて<br>簡単に追い払ってたじゃない。,不是真的吧……<br>大家不是很简单的就能够<br>把这附近的魔物驱赶走吗？
7,,余所から<br>魔物が流れてきたみたいでねぇ……,它们好像是从别处流落而来的魔物……
8,,慣れない相手に調子が狂って<br>この有様だよ……,面对不熟悉的对手时状态不好，<br>结果就落得这个惨状……
9,,今も、動ける狩人が討伐に出てるけど<br>心配で……,现在也是，虽说有能够行动的<br>猎人去讨伐魔物了<br>但我还是非常担心……
10,,そう……,竟然是这样……
11,,大変だ！　またやられた！<br>怪我人が出てる！　誰か来てくれ！,不好了！　又被打败了！<br>有伤员！　谁快来啊！
12,,おい！　逃げてきた狩人は<br>これで全部なのか！？<br>女が一人いただろう！　あいつは……！,喂！　这些就是所有<br>逃出来的猎人吗！？<br>不是还有个女吗！　她人呢……！
13,,女の狩人……？<br>ねえお祖母ちゃん、それって……,女猎人……？<br>呐奶奶，难道是……
14,,ああ……近所にいただろう？<br>あんたの幼馴染。<br>今日の山狩りにはあの子も……,啊啊……我记得是邻居的孩子吧？<br>你的青梅竹马。<br>今天上山打猎那个孩子也去了……
15,,あの子……<br>まさか一人で取り残されてるの！？,她……<br>莫非她一个人掉队了！？
17,,っておい！　待てよ姉ちゃん！,喂！　等等我啊，姐姐！
20,,グオオオオオッ！,嘎哦哦哦↑
21,,<span class='scene-font-kokoro'>（……まずい！　見つかった！）</span>,<span class='scene-font-kokoro'>（……糟糕！　被发现了！）</span>
22,,グオォォ……,嘎哦哦哦↓……
24,,グオォォ……,嘎哦哦哦↓……
25,,…………！？<br>何が……<br>誰！？　どこから射ってきたの！？,…………！？<br>发生了什么……<br>是谁！？　从哪里射过来的！？
28,,これで全部……？<br>……いや、まだ残ってる！<br>このっ！,这下全部解决了……？<br>……不，还有活着的！<br>可恶！
29,,うわっ！？<br>いきなりぶっ放すなよ！,唔哇！？<br>不要突然放箭啊！
30,,見つけた。私の幼馴染。<br>魔物に囲まれてる。,找到了。我的青梅竹马。<br>被魔物包围了。
31,,ええっ！？<br>すぐ助けに行きましょう！,诶诶！？<br>让我们快去救她吧！
32,,……ごめん、巻き込んで。<br>私、あの子は見捨てたくない。,……抱歉，连累大家了。<br>我实在是不能放着那个孩子不管。
33,,あの子とは、<br>もう一緒に遊ぶ事も無いだろうけど。<br>でも……,那个孩子<br>虽然已经不会再和我一起玩了。<br>但是我……
34,,んな事言ってるヒマねえぜ！<br>行くぞぉ！　姬塔！,现在没有说那种事的时间了！<br>要上了喔！　姬塔！
info,,1,scene_chr129_q2_s10
