path,trans,duration,note
voice/3040031000_mypage1,呼呼，我的眼睛很厉害对吧。\n……但是，没法看见和大家一样的景色，\n果然还是……有一点寂寞啊。,11,最终解放前
voice/3040031000_mypage2,哎呀？小露莉亚呢？\n因为发现了好像很美味的蛋糕店，\n原本还想和她说说的呢……,7,
voice/3040031000_mypage3,呐团长，\n我，喜欢露玛茜群岛的景色哦。\n作为下次的目的地如何？呜呼呼。,8,
voice/3040031000_03_mypage1,我……对于普通到底是什么，一直在思考着……\n村子的普通……城市的普通……\n想着如果违反了什么的话，是不是就没有容身之处了……\n不过，十天众和团长的骑空团，\n接受了我的一切，我很高兴呢。,27,最终解放后
voice/3040031000_03_mypage2,席尔瓦说，我的眼睛很厉害。\n因为跟岛的另一端的人谈话时，\n别人经常会觉得很不愉快，所以我很惊讶她这么说。,12,
voice/3040031000_03_mypage3,因为多管闲事伤害了别人这种事情……\n不管过了多少年都忘不了呢。,6,
voice/3710072000_mypage1,真开心……谢谢你带我来海边，团长。,5,泳装
voice/3710072000_mypage2,这个泳装呀？\n是为了体现十天众的风格，才选了白色。\n虽然也很犹豫要不要选黑色……呜呼呼，适合吗？,10,
voice/3710072000_mypage3,总有一天……\n能和十天众的大家一起，来度假就好了……,5,
voice/3710123000_mypage1,呐，团长在新年参拜许了什么愿望呢？\n我希望，全空能够和平、大家都能健康，还有团长……\n呜呼呼。果然还是保密！,15,彩艳天缘振袖
voice/3710123000_mypage2,被炉真的是很棒的发明呢！\n能很自然地与人聚在一起聊天，\n对方也不会感到困扰。,8,
voice/3710123000_mypage3,“能给～我一份麻糬吗？”什么的……\n……好，给榭洛科特的新年问候，决定好了。,12,
voice/3040031000_birthday1,生日快乐！\n呼呼呼……我想试试，给你个惊喜！,6,生日
voice/3040031000_birthday2,你说要我好好期待下自己的生日？\n诶，你要做什么？保密？……嗯。,9,
voice/3040031000_Valentine1,今天是情人节吧？\n呵呵，要加把劲做巧克力才行！\n给所有团员发巧克力很累的！,10,情人节
voice/3040031000_Valentine2,我的巧克力，味道怎么样？\n呼呼呼。,4,
voice/3040031000_WhiteDay1,欸！？回礼！？情人节的？能收下吗？,5,白情
voice/3040031000_WhiteDay2,呜呼呼……小露莉亚也给了我情人节的回礼。\n骑空团真好啊。,8,
voice/3040031000_Halloween1,呐，团长。说一下“不给糖就捣蛋”？\n……呼呼呼，给，糖果！,8,万圣
voice/3040031000_Halloween2,小露莉亚去哪了？\n明明买了很多糖果回来的……,5,
voice/3040031000_Xmas2,圣诞快乐！\n呜呼呼。,2,圣诞
voice/3040031000_Xmas2,团长，你不和团员一起交换圣诞礼物吗？\n呐，来交换吧！,7,
voice/3040031000_newyear1,新年快乐，团长。,3,新年
voice/3040031000_newyear2,我，能与团长及小露莉亚相遇太好了。\n今年也请多关照了。,6,
