id,name,detail
npc,玛姬莎,3040011000
special,流星群,火属性伤害(特大)
special++,流星群,火属性伤害(特大)/敌方全体火属性防御力DOWN
special-メテオスウォーム・イメンス,流星群·极,<div class=prt-text-small>火属性伤害(特大)/对敌方全体发动技能追击造成火属性伤害/火属性防御力DOWN</div>
skill-1,爆发,对敌方全体造成火属性伤害/攻击力DOWN
skill-1++,爆发,对敌方全体造成火属性伤害/攻防DOWN
skill-2,壁障,我方全体免疫弱化效果(1次)/攻防UP
skill-3,沃普尔吉斯,对敌方全体造成火属性伤害/黑暗效果/灼热效果
skill-4,制裁,<div class=prt-text-small>自身获得「召唤魔神摩拉克斯」/再次使用时解除并根据效果持续回合对敌方全体造成火属性伤害</div>
support-1,万能的魔女,<div class=prt-text-small>自身对处于黑暗效果的目标技能伤害上限UP/对处于灼热效果的目标暴击率UP</div>
support-2,召唤魔神摩拉克斯,<div class=prt-text-small>自身处于「召唤魔神摩拉克斯」时攻防UP/必定连击/普通攻击全体化/每回合损失HP(上限800)</div>
skill-lb,LB技能,自身概率在受到致死的回合类伤害时可以继续战斗
intro,女巫的技艺,妖艳的魔女每晚都在梦中预见未知。因某夜的梦境而渴望抵达星的魔女探寻苍之少女，在那空之尽头得以的相会，孕育着她也无法预见的可能性。
