path,trans,duration,note
voice/3040061000_Halloween1,万圣节快乐！,2,万圣
voice/3040061000_Halloween2,不给糖就捣蛋！,2,
voice/3040061000_Halloween3,呀嚯~~团长，我们来办个变装大会吧！当然，优胜的肯定是我！,8,
voice/3040061000_Xmas1,圣诞快乐!,3,圣诞
voice/3040061000_newyear1,新年快乐！,3,新年
voice/3040061000_newyear3,哼哼哼~年糕黏黏黄豆面年糕~♪压一压滚一滚年糕小豆汤~♪,9,
voice/3040061000_Valentine1,情人节快乐！,3,情人节
voice/3040061000_Valentine3,虽然想做巧克力，但搞错了糖和盐，结果做出来的味道连哥布林都会一口倒……,9,
voice/3040061000_whiteday1,白色情人节快乐！,3,白情
voice/3040061000_whiteday2,要送我礼物？哈哈，谢谢你！,5,
voice/3040061000_whiteday3,里面是什么呢~传说中的弓？究极的防具？又或者是金银财宝？,11,
