id,en,jp,trans
0-chapter_name,,炎帝の追憶,炎帝的追忆
0-synopsis,,町娘を庇いながら盗賊を圧倒するパーシヴァルを見て、姬塔一行は戦いの最中、彼の優しさを実感する。そんな一行をパーシヴァルは一喝する。パーシヴァルの一喝を受けた一行は、未だ残る盗賊を退けに向かう。,看着一边保护少女一边以压倒性的优势击败盗贼的帕西瓦尔，姬塔一行在战斗中感受到了他的温柔。帕西瓦尔喝止住了大家的分心并协力击退剩下的盗贼。
0,,はぁぁぁぁぁっ！,哈啊啊啊啊！
3,,ぐあっ……<br>く……くそっ……,呜啊....可.....可恶...
4,,お、おい！<br>大丈夫か！,喂！没事吧！
5,,こいつ……<br>いつもの自警団じゃねぇぞ！,这家伙....不是治安队的...！
6,,<span class='scene-font-katari'>盗賊達の元から</span><br><span class='scene-font-katari'>町娘が逃げてくる。</span>,村里的少女趁机从盗贼那里逃了出来。
8,,た、助かりました！,得、得救了！
9,,いいから後ろに下がっていろ！,别说话快跑到我身后！
10,,は、はい……,是、是....！
11,,<span class='scene-font-katari'>町中に攻め込んできた</span><br><span class='scene-font-katari'>盗賊達を相手にしている一行。</span>,一行人正在和袭击村子的盗贼战斗。
12,,はぁぁぁぁぁっ！,哈啊啊啊啊！
13,,<span class='scene-font-katari'>一行は、烈火のごとく</span><br><span class='scene-font-katari'>盗賊達を切り捨てるパーシヴァルに</span><br><span class='scene-font-katari'>圧倒されている。</span>,一行人被帕西瓦尔压倒性的火力震惊了。
14,,す、すごい……<br>パーシヴァルさん一人で<br>ほとんど倒しちゃいました……,好、好厉害...仅靠帕西瓦尔一人就能打败盗贼了....
15,,ったく……<br>オイラ達もお人好しとは<br>言われるけどよ……,真是的....虽然我们一直被说心软....
16,,自分で気づいてないだけで、<br>トサカの兄ちゃんも<br>相当お人好しだぜ？,虽然他自己没在意，其实他也是个老好人呢……
17,,ははは……<br>確かにパーシヴァルさんは、<br>こう……,哈哈哈……的确呢，帕西瓦尔先生，怎么说呢……
18,,何かと理由を付けてから<br>手を差し伸べるタイプというか……,他是先要找个理由再伸出援手的类型吧.....
19,,おい！　姬塔！<br>何をボサっとしている！,喂！姬塔！你在那愣着干什么！
20,,ここで一気に<br>追い払うぞ！,一口气赶走他们！
21,,は、はいっ！,是、是！
22,,おい！<br>手練れはコイツだけだ！,喂！厉害的就只有这一个家伙啊！
23,,ああ！<br>囲んで潰しちまうぞ！,好！围住他一起上！
24,,へっ！　オイラ達も<br>忘れてもらっちゃ困るぜ！,嘿！忘了我们可不好！
25,,トサカの兄ちゃん！<br>今行くから待ってろよ！,鸡冠头小哥！我们现在就过去！
info,,1,scene_chr165_q2_s10
