path,trans,duration,note
voice/3040050000_mypage1,喂，团长。赶紧出发去找下一个家臣。,3,炎帝
voice/3040050000_mypage2,菲德拉赫…么。没想到能再次听说这个名字。看来是时候给过去的留恋做个了断了。,11,
voice/3040050000_mypage3,我的两位兄长也各自在邻国修行。我很久没见到他们了。,7,
voice/3040050000_mypage4,你说你要帮助遇见的每一个人吧…。真是个令人无语的家伙。,10,
voice/3040050000_mypage5,你我孰强孰弱？……哼。不如现在就比试一下？,7,
voice/3040050000_03_v_304,哼，你也成长了许多啊。,3,终凸
voice/3040050000_03_v_305,为完成我的理想，助我一臂之力。,3,
voice/3040050000_03_ability_us3,我希望能和你一起实现理想。,3,
voice/3040050000_Valentine1,情人节快乐！,1,情人节
voice/3040050000_Valentine2,今天是情人节啊……不好意思，我不是很喜欢吃甜食。\n…………不要摆出那么伤心的表情！我知道了啦，你的我就特殊对待收下了。,18,
voice/3040050000_Valentine3,我明明不是很喜欢吃甜食，然而每年这段日子都会收到很多巧克力。尽管如此，也不忍心都扔掉，所以每年都给骑士团的伙伴们吃了。,12,
voice/3040050000_birthday1,生日快乐。,2,生日
voice/3040050000_Halloween1,万圣节快乐。,2,万圣
voice/3040050000_Halloween2,不给糖就捣蛋。,2,
voice/3040050000_Halloween4,呃？！你要我变装？住手，太难为情了！\n呃，我知道了。我会带上你拿着的那个耳朵的，你也就这样让步吧。,16,
voice/3040050000_Xmas1,圣诞快乐！,2,圣诞
voice/3040050000_Xmas3,真是的……上次像这样那么多人一起庆祝圣诞还是我在骑士团里的时候。\n呵，偶尔这样也不错。,12,
voice/3040050000_newyear1,新年快乐！,2,新年
voice/3040050000_newyear2,创造国家还需要更多有能力的家臣……团长，今年你也会继续帮我寻找伙伴的吧？,9,
