id,en,jp,trans
0-chapter_name,,炎帝の追憶,
0-synopsis,,姬塔一行はパーシヴァルと共に戦い、盗賊団を壊滅させる。町に戻ったパーシヴァルは一行に、自身がフェードラッヘに居た頃の話を語り、抱いていた悩みを打ち明ける。話を聞いた一行は、パーシヴァルに一度フェードラッヘに帰る事を勧める。一行の言葉にパーシヴァルは、過去の未練に決着をつけることを約束するのだった。,姬塔一行和帕西瓦尔一起摧毁了盗贼团伙。回到村子后，帕西瓦尔说出了他在菲德拉赫的经历。姬塔一行听后建议他回一次菲德拉赫。帕西瓦尔和众人约定与自己的过去诀别。
0,,<span class='scene-font-katari'>姬塔の助けもあり、</span><br><span class='scene-font-katari'>なんとか頭目を倒して</span><br><span class='scene-font-katari'>盗賊団を壊滅させた一行。</span>,因为姬塔的帮助一行人总算是打倒了盗贼头目并成功瓦解了盗贼团伙。
1,,<span class='scene-font-katari'>町に戻った一行は</span><br><span class='scene-font-katari'>町人達の歓待を受けた後、</span><br><span class='scene-font-katari'>宿屋でその身を休めている。</span>,回到村子里受到村民的款待后，众人在旅店里休养身体。
2,,…………,……
3,,あれからパーシヴァルさん<br>全然元気がないですね……,在那之后帕西瓦尔一点精神都没有啊....
4,,ああ……<br>なんとか騎士団って<br>言ってからだろ……,是啊...说了骑士团什么的....
5,,先ほどは……<br>取り乱してしまって<br>すまなかった。,刚才我乱了手脚，给大家添麻烦了....
6,,え、あ……いえ……<br>パーシヴァルさんが<br>無事で良かったです。,唉？啊...没关系的，你没事就好。
7,,それで……その……<br>いったい何があったんだよ？,那个...到底出了什么事？
8,,自分では……もう……<br>過去の出来事……<br>だと思っていたんだがな……,虽然我觉得已经是过去的事了.....
9,,私達で良ければ……<br>話してください。,如果不介意的话...请说给我们听听吧。
10,,ふっ……少し長くなるが、<br>俺の話を聞いてくれるか？,哼...说来话长，你们愿意听吗？
11,,はい……<br>もちろんです。,嗯...当然。
12,,<span class='scene-font-katari'>深く息を吐いた</span><br><span class='scene-font-katari'>パーシヴァルは、</span><br><span class='scene-font-katari'>静かに語り始める。</span>,帕西瓦尔叹了口气，缓缓地张开了口。
13,,いつだったか……<br>俺はウェールズ家の出身だって、<br>お前達に話しただろ？,之前好像和你们说过我是维尔兹家出身吧？
14,,確か……パーシヴァルさんと<br>初めて出会った日に、<br>そう教えてもらいました。,嗯...好像是遇见你的那天说的。
15,,そのウェールズ家の家督を<br>継ぐ予定のある者は……,维尔兹家的继承者有一个代代相传规定，
16,,代々、交流のある隣国の<br>騎士団に入団するという<br>しきたりがあってな……,就是要去邻国的骑士团任职。
17,,へぇ〜<br>ってことはトサカの兄ちゃんは、<br>元々騎士だったのか？,那么说～鸡冠头小哥原来是骑士呀？
18,,そうだ……これは……<br>お前達に出会う前の話だが……,没错....这是遇到你们之前的事了……
19,,その昔、俺はその隣国に仕える<br>騎士団の副団長を務めていた。,在这之前，我是那个邻国骑士团的副团长。
20,,だが、ある時……<br>その騎士団の団長が王を殺した。,但是那个骑士团的团长弑君了。
21,,お、王を殺すって……<br>そりゃただ事じゃねぇな……,居、居然会去加害国王....那可不是一般的事了.....
22,,ああ……俺たちは、<br>その団長を信頼していたからな。,嗯...我们都很信赖团长。
23,,団長に裏切られた衝撃から、<br>団の結束は瓦解した……,因为团长的背叛，受到极大冲击的骑士团就解散了....
24,,あの時は……もう……<br>正直、何を信じていいのか<br>分からなくなったな……,那个时候....我...真的不知道相信什么才好....
25,,それで……<br>その団長さんは……,那个团长....之后怎么样了...
26,,そのまま行方をくらませた。<br>後に残ったのは、無能な王と<br>いけ好かない執政官だけだ。,就那样失踪了。留下的只有无能的王和讨厌的执政官。
27,,俺は……先代の王と<br>その団長の人柄に惚れていた……,我很憧憬先代的王和团长....
28,,その二人の思い描く国作りのためなら、<br>俺は命をかけて騎士を続けられた。,为了实现他们理想中的国度，我不惜拼上性命....
