id,en,jp,trans
0-chapter_name,,第5話 返して！大切なルリアの手帳,第5話 还回来！重要的露莉亚笔记
0-synopsis,,宿のロビーで一緒にお絵描きしていたルリアとポルン。そこへ、姬塔を探していたなぎさとほのかが通りかかる。ポルンの描いた絵には、なぎさ達が知らないはずの星晶獣の姿もあった。「どこでそんなの知ったんだ？」と尋ねるビィを余所に、無心で筆を走らせるポルン。その様子を見ながらなぎさ達は首を傾げるのだった。,在旅店的大厅一起画画的露莉亚和保伦。寻找姬塔的渚和穗乃香、正巧路过此处。保伦所画的、是渚她们所不知道的星晶兽。将问着「在哪里得知这些东西的呢？」的阿碧无视掉、保伦埋头于笔尖之上。看着他的这个样子渚等人感到了疑惑。
12,,♪♪～♪♪～,♪♪～♪♪～
13,,<span class='scene-font-katari'>宿のロビーで、</span><br><span class='scene-font-katari'>ルリアはお気に入りの</span><br><span class='scene-font-katari'>大きなノートに筆を走らせる。</span>,<span class='scene-font-katari'>在旅店的大厅、</span><br><span class='scene-font-katari'>露莉亚正在非常中意的大大的笔记本上</span><br><span class='scene-font-katari'>奋笔疾书着。</span>
14,,ルリア、何してるポポ？,露莉亚、你在做什么～波波？
15,,あ、ポルンちゃん。<br>今、日記を書いていたんですよ。,啊、保伦酱。<br>现在、正在写日记呢。
16,,絵がいっぱいポポ。,有很多画呢～波波。
17,,旅で起きたことや、<br>出会った人たちの<br>絵も残しておきたくて。,在旅途中发生的事情啦、<br>还有所遇到的人们画像啦<br>想要将这些记录下来。
18,,…………,…………
19,,ポルンもお絵描きするポポ！,保伦也会画画～波波！
20,,ふふ、それじゃ、<br>私といっしょにお絵描きしましょう。,嘻嘻、这样的话、<br>就和我一起来画画吧。
26,,……まさか、あいつが蘇って<br>また襲ってくるなんて。,那家伙居然复活过来、又一次来袭击我们……<br>没想到会发生这种事情。
27,,空の園のエネルギーを<br>食い尽くそうと狙っていたのは<br>あの人だったのね……,想要将空之园的能量<br>全都吞噬掉的<br>就是那个人吧……
28,,私たちが初めて変身した時に<br>戦った相手と、こんな所で出会うとは<br>思わなかったな……,真没想到<br>会在这里遇到我们初次变身时<br>就与之战斗过的对手呐……
29,,この世界に存在するエネルギーを<br>取り込んで、あの時よりも<br>格段にパワーアップしてたメポ。,吸收了这个世界中的能量、<br>比那个时候<br>非同一般地强化了～梅波。
30,,でも、きっと大丈夫ミポ！<br>姬塔たちも<br>力を貸してくれるミポ。,但是、一定会没事的～米波！<br>姬塔他们也会<br>帮我们的～米波。
31,,そうよね。仲間が増えたから<br>きっと大丈夫よね。,是呢。伙伴增加了<br>所以一定会没事的吧。
32,,……あ。<br>姬塔さんといえば……,……啊。<br>说到姬塔……
33,,どうしたの？　ほのか。,怎么了？　穗乃香。
34,,お掃除当番の団員さんが<br>お腹を壊しちゃったんですって。<br>だから当番の代わりを探してるって。,听说负责扫除的团员<br>肚子不太舒服。<br>所以正在找能顶替的人。
35,,ええっ！？　それじゃその人、<br>ご飯も食べられないの！？,诶诶っ！？　这样的话那个人、<br>连饭也没法吃了！？
36,,なぎさ、気にするところが<br>おかしいメポ。,渚、你所在意的地方<br>很奇怪啊～梅波。
37,,ねえ、ほのか。<br>私たちがお手伝いできるか<br>聞いてみようか？,吶、穗乃香。<br>去问问<br>我们能不能帮上忙吧？
38,,ええ。,嗯嗯。
44,,描くポポ描くポポ！<br>ビィも一緒にお絵描きするポポ～～！！,画画波波！<br>阿碧也一起来画画吧～波波～～！！
45,,ああもう、わかったって！<br>オイラもやるから落ち着けってば！,啊啊真是的、知道了啦！<br>俺也来画就是了所以拜托了安静点好吗！
46,,あはは……<br>ビィさん、すっかりポルンちゃんの<br>お気に入りですね。,啊哈哈……<br>阿碧、<br>真是受保伦酱喜欢呢。
47,,やれやれ……<br>こんなに振り回されること、<br>今までなかったぜ……,呀类呀类……<br>像这样被人弄得忙手忙脚的、<br>这还是头一遭呐……
49,,姬塔さーん！<br>お掃除当番のことなんですけどー！,姬塔！<br>我想问问关于扫除的事情！
50,,姬塔さん、<br>どこに行ったのかしら？,姬塔、<br>去哪里了呢？
51,,ああ、姬塔なら<br>発着場にいるんじゃねえか？<br>空図見て針路の話してんじゃねえかな。,啊啊、姬塔的话<br>会不会在起落坪呢？<br>大概在一边看空域图然后商讨今后的航向吧。
52,,それよりお絵描き続けるポポ！<br>ポルンと遊ぶポポ！,比起那个来继续画画吧～波波！<br>来和保伦玩～波波！
53,,ん、何やってんの？,嗯、在做什么呢？
54,,みんなでお絵描きです！<br>ポルンちゃん、絵が上手なんですよ。,大家都在画画！<br>保伦酱、画画非常拿手哟。
55,,なぎさ、ほのか、見るポポ！,渚、穗乃香、快看～波波！
56,,<span class='scene-font-katari'>褒められて気を良くしたポルンが</span><br><span class='scene-font-katari'>ノートを開いて絵を見せる。</span>,<span class='scene-font-katari'>受到表扬而非常开心的保伦</span><br><span class='scene-font-katari'>展开笔记本让大家看画。</span>
57,,ええと、女の子に、鎧の人に、<br>ヘビ……と、もうひとり女の子？,诶、女孩子和、穿着盔甲的人、<br>蛇……还有、另一个女孩子？
58,,きっと、ティアマトと、コロッサスと<br>リヴァイアサンとユグドラシルです。,这一定是、提亚马特和、科罗萨斯和<br>利维坦还有尤格多拉希尔。
59,,ティアマトとコロッサスは……<br>確か、私たちを助けてくれた<br>星晶獣よね？,提亚马特和科罗萨斯……<br>应该就是、帮助了我们的<br>星晶獣没错吧？
60,,リヴァイアサンとユグドラシルも、<br>とっても優しくて心強いんですよ！,利维坦和尤格多拉希尔、<br>也是非常温柔而又让人安心的哟！
61,,へえ……他にも星晶獣っているのね。<br>リヴァイアサンと、ユグドラシルか……,嘿……还有其他的星晶兽呢。<br>利维坦、还有尤格多拉希尔……
62,,っても、このチビスケ<br>どこでそんなの知ったんだ？,但是、这个小家伙<br>从哪知道这些的？
63,,びゅうびゅう、がしゃがしゃ、<br>じゃばじゃば、にょきー……ポポ……,biubiu、喀恰喀恰、<br>嘎巴嘎巴、纽奇……～波波……
64,,<span class='scene-font-katari'>無心に筆を走らせるポルンを見て</span><br><span class='scene-font-katari'>不思議そうに首を傾げる</span><br><span class='scene-font-katari'>一行だった。</span>,<span class='scene-font-katari'>对于埋头于画画的保伦</span><br><span class='scene-font-katari'></span><br>一群人只能不可思议地<span class='scene-font-katari'>歪着头看着。</span>
info,,1,scene_evt181014_cp5_q1_s10
