path,trans,duration,note
voice/3040191000_halloween_mypage1_1,万圣节快乐！,2,万圣
voice/3040191000_halloween_mypage1_2,万圣节快乐！,2,
voice/3040191000_halloween_mypage3,好，这样一来惊喜的准备就做好了。等会团员们的惊讶的表情值得一看啊~,8,
voice/3040191000_halloween_mypage4,啊……今年兰酱也很认真地变装呢……哈哈，虽然说每年都这样，但那个真的很吓人啊。,11,
voice/3040191000_christmas_mypage1_mix,圣诞快乐！,2,圣诞
voice/3040191000_christmas_mypage2,平安夜真让人激动啊。\n嘿嘿，我今晚我会好好发挥我的本领做美食的！,8,
voice/3040191000_christmas_mypage3,提到平安夜就让人想起火鸡。\n晚饭吃烤火鸡怎么样？,6,
voice/3040191000_newyear_mypage1_mix,Happy New Year！,2,新年
voice/3040191000_newyear_mypage3,我的新年抱负，是不光提高自己，还要提高骑士团整体的力量。\n啊，还有就是要增加料理的种类！,11,
voice/3040191000_newyear_mypage4,我的新年抱负，是重新思考该如何做，才能让我国的未来变得更加好。\n还有就是，如果时间允许，我想去帮维恩做料理。,13,
voice/3040191000_valentine_mypage1_1,情人节快乐！,2,情人节
voice/3040191000_valentine_mypage1_2,情人节快乐！,2,
voice/3040191000_valentine_mypage2,今年也收到了很多送给兰酱的巧克力，兰酱果然很厉害啊~,7,
voice/3040191000_valentine_mypage3,每年送给骑士团的巧克力都会分给大家一起吃。分摊工作交给年轻的团员来做，大家都像回想起童心一样非常高兴。,12,
voice/3040191000_white_mypage1_mix,白色情人节快乐！,2,白情
voice/3040191000_white_mypage3,今年的回礼因为有兰酱的帮忙，轻松了不少。,6,
voice/3040191000_white_mypage2,今年的回礼是我跟维恩一起做的。\n虽然这么说，但其实我没怎么帮上忙。,7,
